customer_id,tower_id,region_customer,plan,monthly_revenue,data_usage_gb,complaint_count,region_tower,technology,tower_health_score,tower_status,problem_indicators,failure_probability,risk_category,recommended_action,network_region,potentially_affected,revenue_at_risk,high_value_customer,high_value_at_risk
C00001,T1040,North,Premium,799,29.96,0,North,5G,78.6,Warning,No Major Issue,25.59,MEDIUM,Increase monitoring frequency,North,False,0,True,False
C00002,T1491,South,Unlimited,1199,13.72,2,South,5G,78.58,Warning,No Major Issue,13.11,LOW,Normal monitoring,South,False,0,True,False
C00003,T1081,Central,Standard,499,15.01,1,Central,5G,78.51,Warning,No Major Issue,17.26,LOW,Normal monitoring,Central,False,0,False,False
C00004,T1289,Central,Standard,499,30.17,0,Central,4G,78.71,Warning,No Major Issue,24.34,LOW,Normal monitoring,Central,False,0,False,False
C00005,T1373,Central,Basic,299,40.56,0,Central,5G,78.49,Warning,No Major Issue,83.98,CRITICAL,Immediate technician inspection,Central,True,299,False,False
C00006,T1304,West,Basic,299,27.2,1,West,4G,78.98,Warning,No Major Issue,17.73,LOW,Normal monitoring,West,False,0,False,False
C00007,T1276,West,Premium,799,0.0,2,West,5G,79.43,Warning,No Major Issue,24.11,LOW,Normal monitoring,West,False,0,True,False
C00008,T1461,Central,Premium,799,25.79,2,Central,5G,78.71,Warning,No Major Issue,18.49,LOW,Normal monitoring,Central,False,0,True,False
C00009,T1054,West,Basic,299,17.61,0,West,5G,78.89,Warning,No Major Issue,60.2,HIGH,Schedule preventive maintenance,West,True,299,False,False
C00010,T1252,North,Premium,799,5.52,1,North,4G,78.19,Warning,No Major Issue,34.31,MEDIUM,Increase monitoring frequency,North,False,0,True,False
C00011,T1374,North,Basic,299,17.43,2,North,5G,79.03,Warning,No Major Issue,24.15,LOW,Normal monitoring,North,False,0,False,False
C00012,T1341,West,Basic,299,35.01,1,West,5G,78.57,Warning,No Major Issue,35.97,MEDIUM,Increase monitoring frequency,West,False,0,False,False
C00013,T1455,West,Standard,499,16.79,0,West,4G,78.56,Warning,No Major Issue,18.74,LOW,Normal monitoring,West,False,0,False,False
C00014,T1051,Central,Basic,299,15.75,1,Central,4G,79.32,Warning,No Major Issue,49.26,MEDIUM,Increase monitoring frequency,Central,False,0,False,False
C00015,T1051,Central,Unlimited,1199,28.96,0,Central,4G,79.32,Warning,No Major Issue,49.26,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00016,T1398,North,Unlimited,1199,14.53,0,North,4G,78.52,Warning,No Major Issue,20.84,LOW,Normal monitoring,North,False,0,True,False
C00017,T1048,Central,Basic,299,22.06,1,Central,4G,78.26,Warning,No Major Issue,32.35,MEDIUM,Increase monitoring frequency,Central,False,0,False,False
C00018,T1072,East,Premium,799,39.2,2,East,5G,78.7,Warning,No Major Issue,29.29,MEDIUM,Increase monitoring frequency,East,False,0,True,False
C00019,T1412,South,Premium,799,28.55,1,South,4G,78.27,Warning,No Major Issue,18.29,LOW,Normal monitoring,South,False,0,True,False
C00020,T1360,East,Unlimited,1199,25.86,2,East,5G,78.38,Warning,No Major Issue,27.29,MEDIUM,Increase monitoring frequency,East,False,0,True,False
C00021,T1349,Central,Unlimited,1199,25.28,0,Central,5G,79.1,Warning,No Major Issue,23.11,LOW,Normal monitoring,Central,False,0,True,False
C00022,T1027,North,Standard,499,24.18,2,North,5G,78.45,Warning,No Major Issue,22.57,LOW,Normal monitoring,North,False,0,False,False
C00023,T1086,South,Basic,299,27.12,2,South,4G,78.86,Warning,No Major Issue,25.41,MEDIUM,Increase monitoring frequency,South,False,0,False,False
C00024,T1207,South,Premium,799,8.58,3,South,5G,78.94,Warning,No Major Issue,13.11,LOW,Normal monitoring,South,False,0,True,False
C00025,T1470,South,Standard,499,29.65,1,South,5G,78.76,Warning,No Major Issue,30.72,MEDIUM,Increase monitoring frequency,South,False,0,False,False
C00026,T1161,Central,Premium,799,20.65,3,Central,4G,79.32,Warning,No Major Issue,23.16,LOW,Normal monitoring,Central,False,0,True,False
C00027,T1357,North,Basic,299,27.08,2,North,5G,78.35,Warning,No Major Issue,19.35,LOW,Normal monitoring,North,False,0,False,False
C00028,T1349,Central,Standard,499,41.37,0,Central,5G,79.1,Warning,No Major Issue,23.11,LOW,Normal monitoring,Central,False,0,False,False
C00029,T1000,North,Basic,299,23.55,1,North,4G,78.54,Warning,No Major Issue,31.21,MEDIUM,Increase monitoring frequency,North,False,0,False,False
C00030,T1341,West,Standard,499,31.85,1,West,5G,78.57,Warning,No Major Issue,35.97,MEDIUM,Increase monitoring frequency,West,False,0,False,False
C00031,T1093,West,Unlimited,1199,11.48,2,West,4G,78.56,Warning,No Major Issue,29.21,MEDIUM,Increase monitoring frequency,West,False,0,True,False
C00032,T1461,Central,Premium,799,49.34,1,Central,5G,78.71,Warning,No Major Issue,18.49,LOW,Normal monitoring,Central,False,0,True,False
C00033,T1401,South,Premium,799,15.57,1,South,5G,78.82,Warning,No Major Issue,25.45,MEDIUM,Increase monitoring frequency,South,False,0,True,False
C00034,T1446,West,Basic,299,17.67,1,West,4G,78.63,Warning,No Major Issue,25.05,MEDIUM,Increase monitoring frequency,West,False,0,False,False
C00035,T1005,North,Standard,499,25.68,2,North,4G,79.65,Warning,No Major Issue,84.12,CRITICAL,Immediate technician inspection,North,True,499,False,False
C00036,T1440,West,Unlimited,1199,20.88,0,West,5G,79.11,Warning,No Major Issue,20.76,LOW,Normal monitoring,West,False,0,True,False
C00037,T1388,East,Basic,299,18.01,0,East,5G,79.38,Warning,No Major Issue,36.54,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00038,T1040,North,Premium,799,11.35,0,North,5G,78.6,Warning,No Major Issue,25.59,MEDIUM,Increase monitoring frequency,North,False,0,True,False
C00039,T1056,South,Premium,799,22.87,2,South,5G,78.56,Warning,No Major Issue,20.31,LOW,Normal monitoring,South,False,0,True,False
C00040,T1109,East,Standard,499,31.07,2,East,5G,78.7,Warning,No Major Issue,23.67,LOW,Normal monitoring,East,False,0,False,False
C00041,T1464,South,Premium,799,39.33,1,South,5G,77.78,Warning,No Major Issue,24.6,LOW,Normal monitoring,South,False,0,True,False
C00042,T1494,West,Premium,799,11.15,1,West,5G,78.27,Warning,No Major Issue,64.27,HIGH,Schedule preventive maintenance,West,True,799,True,True
C00043,T1225,Central,Premium,799,18.23,1,Central,4G,78.59,Warning,No Major Issue,26.34,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00044,T1016,East,Unlimited,1199,13.48,0,East,4G,78.25,Warning,No Major Issue,29.03,MEDIUM,Increase monitoring frequency,East,False,0,True,False
C00045,T1144,East,Basic,299,31.07,0,East,5G,78.46,Warning,No Major Issue,20.18,LOW,Normal monitoring,East,False,0,False,False
C00046,T1489,East,Unlimited,1199,19.67,0,East,5G,79.18,Warning,No Major Issue,26.31,MEDIUM,Increase monitoring frequency,East,False,0,True,False
C00047,T1051,Central,Unlimited,1199,21.9,1,Central,4G,79.32,Warning,No Major Issue,49.26,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00048,T1360,East,Standard,499,23.7,1,East,5G,78.38,Warning,No Major Issue,27.29,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00049,T1432,South,Standard,499,16.45,0,South,4G,78.79,Warning,No Major Issue,17.7,LOW,Normal monitoring,South,False,0,False,False
C00050,T1237,Central,Basic,299,32.67,0,Central,5G,78.36,Warning,No Major Issue,63.09,HIGH,Schedule preventive maintenance,Central,True,299,False,False
C00051,T1476,East,Premium,799,23.54,1,East,5G,78.68,Warning,No Major Issue,25.72,MEDIUM,Increase monitoring frequency,East,False,0,True,False
C00052,T1362,East,Premium,799,10.96,0,East,5G,79.02,Warning,No Major Issue,28.79,MEDIUM,Increase monitoring frequency,East,False,0,True,False
C00053,T1329,South,Basic,299,31.09,1,South,5G,78.74,Warning,No Major Issue,24.1,LOW,Normal monitoring,South,False,0,False,False
C00054,T1467,North,Standard,499,24.9,2,North,5G,79.02,Warning,No Major Issue,12.65,LOW,Normal monitoring,North,False,0,False,False
C00055,T1341,West,Basic,299,30.7,1,West,5G,78.57,Warning,No Major Issue,35.97,MEDIUM,Increase monitoring frequency,West,False,0,False,False
C00056,T1024,North,Basic,299,13.43,0,North,5G,78.49,Warning,No Major Issue,16.69,LOW,Normal monitoring,North,False,0,False,False
C00057,T1201,Central,Premium,799,30.63,2,Central,5G,78.73,Warning,No Major Issue,21.54,LOW,Normal monitoring,Central,False,0,True,False
C00058,T1490,East,Standard,499,15.49,2,East,4G,79.51,Warning,No Major Issue,46.61,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00059,T1496,West,Premium,799,25.23,0,West,5G,79.11,Warning,No Major Issue,21.75,LOW,Normal monitoring,West,False,0,True,False
C00060,T1395,Central,Basic,299,17.01,1,Central,4G,78.9,Warning,No Major Issue,78.18,CRITICAL,Immediate technician inspection,Central,True,299,False,False
C00061,T1104,South,Basic,299,22.24,1,South,5G,78.68,Warning,No Major Issue,34.25,MEDIUM,Increase monitoring frequency,South,False,0,False,False
C00062,T1001,North,Premium,799,21.09,2,North,4G,78.18,Warning,No Major Issue,32.68,MEDIUM,Increase monitoring frequency,North,False,0,True,False
C00063,T1178,Central,Standard,499,43.08,1,Central,5G,78.47,Warning,No Major Issue,75.58,CRITICAL,Immediate technician inspection,Central,True,499,False,False
C00064,T1480,East,Basic,299,31.7,1,East,4G,78.95,Warning,No Major Issue,30.32,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00065,T1449,West,Standard,499,50.45,1,West,4G,78.19,Warning,No Major Issue,33.22,MEDIUM,Increase monitoring frequency,West,False,0,False,False
C00066,T1219,South,Basic,299,28.89,0,South,4G,78.29,Warning,No Major Issue,28.11,MEDIUM,Increase monitoring frequency,South,False,0,False,False
C00067,T1259,Central,Premium,799,17.65,3,Central,5G,50.83,Critical,No Major Issue,100.0,CRITICAL,Immediate technician inspection,Central,True,799,True,True
C00068,T1036,Central,Premium,799,21.3,0,Central,4G,78.18,Warning,No Major Issue,28.97,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00069,T1320,South,Basic,299,42.85,2,South,5G,78.25,Warning,No Major Issue,12.43,LOW,Normal monitoring,South,False,0,False,False
C00070,T1489,East,Standard,499,33.92,2,East,5G,79.18,Warning,No Major Issue,26.31,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00071,T1334,North,Premium,799,38.1,1,North,5G,78.58,Warning,No Major Issue,24.64,LOW,Normal monitoring,North,False,0,True,False
C00072,T1450,South,Standard,499,20.59,0,South,5G,78.63,Warning,No Major Issue,19.47,LOW,Normal monitoring,South,False,0,False,False
C00073,T1491,South,Premium,799,18.16,0,South,5G,78.58,Warning,No Major Issue,13.11,LOW,Normal monitoring,South,False,0,True,False
C00074,T1177,West,Standard,499,19.62,0,West,4G,78.66,Warning,No Major Issue,34.66,MEDIUM,Increase monitoring frequency,West,False,0,False,False
C00075,T1465,North,Premium,799,29.73,0,North,5G,78.9,Warning,No Major Issue,25.28,MEDIUM,Increase monitoring frequency,North,False,0,True,False
C00076,T1351,East,Premium,799,15.08,1,East,5G,79.14,Warning,No Major Issue,35.18,MEDIUM,Increase monitoring frequency,East,False,0,True,False
C00077,T1075,East,Basic,299,28.38,4,East,4G,78.0,Warning,No Major Issue,18.48,LOW,Normal monitoring,East,False,0,False,False
C00078,T1185,West,Unlimited,1199,27.82,2,West,4G,79.77,Warning,No Major Issue,18.17,LOW,Normal monitoring,West,False,0,True,False
C00079,T1036,Central,Basic,299,14.4,0,Central,4G,78.18,Warning,No Major Issue,28.97,MEDIUM,Increase monitoring frequency,Central,False,0,False,False
C00080,T1030,South,Unlimited,1199,17.57,0,South,4G,78.68,Warning,No Major Issue,27.53,MEDIUM,Increase monitoring frequency,South,False,0,True,False
C00081,T1493,West,Unlimited,1199,36.03,3,West,4G,77.93,Warning,No Major Issue,28.38,MEDIUM,Increase monitoring frequency,West,False,0,True,False
C00082,T1291,West,Basic,299,22.41,3,West,5G,78.66,Warning,No Major Issue,11.6,LOW,Normal monitoring,West,False,0,False,False
C00083,T1329,South,Basic,299,34.16,0,South,5G,78.74,Warning,No Major Issue,24.1,LOW,Normal monitoring,South,False,0,False,False
C00084,T1203,North,Unlimited,1199,39.29,1,North,5G,78.26,Warning,No Major Issue,25.42,MEDIUM,Increase monitoring frequency,North,False,0,True,False
C00085,T1482,West,Basic,299,29.5,1,West,5G,79.19,Warning,No Major Issue,26.99,MEDIUM,Increase monitoring frequency,West,False,0,False,False
C00086,T1037,South,Unlimited,1199,34.94,4,South,5G,50.65,Critical,No Major Issue,100.0,CRITICAL,Immediate technician inspection,South,True,1199,True,True
C00087,T1244,North,Premium,799,29.01,1,North,4G,79.31,Warning,No Major Issue,32.41,MEDIUM,Increase monitoring frequency,North,False,0,True,False
C00088,T1022,Central,Standard,499,40.59,0,Central,4G,78.74,Warning,No Major Issue,71.04,HIGH,Schedule preventive maintenance,Central,True,499,False,False
C00089,T1245,Central,Premium,799,35.93,5,Central,4G,51.42,Critical,No Major Issue,100.0,CRITICAL,Immediate technician inspection,Central,True,799,True,True
C00090,T1366,Central,Standard,499,32.52,4,Central,5G,51.75,Critical,No Major Issue,100.0,CRITICAL,Immediate technician inspection,Central,True,499,False,False
