tower_id,avg_latency_ms,avg_packet_loss_pct,avg_download_mbps,avg_upload_mbps,avg_signal_strength_dbm,avg_cpu_utilization_pct,avg_memory_utilization_pct,avg_call_drop_rate,avg_connection_failure_rate,avg_active_users,region,technology,latitude,longitude,installation_year,tower_health_score,tower_status,problem_indicators,anomaly_prediction,anomaly_score,anomaly_status
T1000,33.200833333333335,0.50225,124.03625000000001,35.700916666666664,-75.28266666666667,55.982083333333335,49.78075,0.9879166666666667,1.5254166666666669,510.19166666666666,North,4G,28.021863,75.101864,2018,81.63,Healthy,No Major Issue,1,0.07327147024463382,Normal
T1001,34.70858333333333,0.47791666666666666,121.62933333333334,35.41383333333333,-75.79091666666666,55.05558333333333,50.09683333333333,1.02375,1.5284166666666665,503.775,North,4G,23.943298,68.921698,2017,81.36,Healthy,No Major Issue,1,0.12402147202088248,Normal
T1002,34.92191666666667,0.5183333333333333,116.54575,34.661500000000004,-75.15708333333333,54.58558333333334,50.04241666666667,0.9670000000000001,1.4770833333333333,492.9166666666667,South,4G,21.644593,68.769543,2019,81.78,Healthy,No Major Issue,1,0.15351336048786374,Normal
T1003,34.6875,0.5073333333333333,120.20408333333333,35.20916666666667,-75.08666666666666,55.72633333333333,50.05858333333333,0.9596666666666667,1.5070000000000001,494.0833333333333,Central,5G,13.951897,85.088705,2016,81.67,Healthy,No Major Issue,1,0.1624180459102273,Normal
T1004,34.59075,0.5167499999999999,122.02383333333334,35.029583333333335,-74.68308333333333,55.61091666666667,50.31641666666667,0.9698333333333333,1.5529166666666667,487.3833333333333,South,5G,17.186764,72.508905,2021,81.82,Healthy,No Major Issue,1,0.11461282205343265,Normal
T1005,33.361333333333334,0.49375,115.72725,35.04025,-74.262,54.93925,49.82208333333333,0.9950833333333333,1.468,484.28333333333336,North,4G,18.258037,78.410402,2021,82.34,Healthy,No Major Issue,1,0.06463743360418245,Normal
T1006,33.44591666666667,0.49824999999999997,121.24283333333332,34.32125,-75.87349999999999,54.85625,49.58175000000001,0.955,1.4649166666666666,491.64166666666665,Central,5G,29.792463,89.162222,2024,81.6,Healthy,No Major Issue,1,0.07434713601673681,Normal
T1007,36.29483333333334,0.47375,121.72241666666667,35.82833333333333,-75.05391666666667,55.65691666666667,48.88766666666667,0.9994166666666666,1.5419166666666666,476.35,North,5G,10.127605,76.50217,2025,81.51,Healthy,No Major Issue,1,0.037531849538572915,Normal
T1008,36.13816666666666,0.5145833333333333,121.77,34.62566666666667,-76.28808333333333,55.671416666666666,50.824,1.089,1.5044166666666667,507.65833333333336,East,4G,27.02344,69.328907,2019,80.72,Healthy,No Major Issue,1,0.01884981972399391,Normal
T1009,36.05133333333333,0.48483333333333334,119.66574999999999,35.41308333333333,-74.88566666666667,56.379749999999994,50.67183333333333,1.0263333333333333,1.5518333333333334,488.0416666666667,East,4G,31.093578,93.128026,2022,81.43,Healthy,No Major Issue,1,0.09434765091859942,Normal
T1010,33.806916666666666,0.48125,117.29433333333333,33.230333333333334,-75.25408333333333,54.502583333333334,49.372499999999995,0.99375,1.3968333333333334,494.0416666666667,East,5G,25.16348,78.580133,2021,81.97,Healthy,No Major Issue,1,0.07949897229077513,Normal
T1011,34.32975,0.5024166666666666,120.34983333333334,35.571,-75.12383333333334,55.345166666666664,50.67325,1.0231666666666668,1.4926666666666668,514.1,East,4G,26.09473,88.352789,2017,81.67,Healthy,No Major Issue,1,0.14538787160118344,Normal
T1012,35.97708333333333,0.4960833333333333,118.96191666666667,34.46358333333333,-74.74683333333334,56.04958333333333,48.8265,1.0648333333333333,1.4839166666666666,495.6166666666667,Central,4G,22.421777,75.099517,2023,81.55,Healthy,No Major Issue,1,0.11364013220512631,Normal
T1013,34.77166666666667,0.5068333333333334,121.05866666666667,34.31458333333333,-74.96366666666667,55.232,50.67508333333333,1.0290833333333333,1.4133333333333333,509.7083333333333,West,5G,34.71713,86.559993,2024,81.79,Healthy,No Major Issue,1,0.1258362851167792,Normal
T1014,35.59866666666667,0.5218333333333333,124.83324999999999,34.86108333333333,-75.49708333333334,55.13825,48.89041666666667,0.9866666666666667,1.5495833333333333,500.5416666666667,South,5G,30.757002,90.503997,2019,81.35,Healthy,No Major Issue,1,0.13448371038172602,Normal
T1015,35.13066666666667,0.4979166666666667,121.874,35.434916666666666,-74.91791666666667,55.08591666666667,49.221333333333334,0.9935833333333334,1.5183333333333333,501.325,North,5G,18.831449,69.91947,2025,81.76,Healthy,No Major Issue,1,0.1727211655729637,Normal
T1016,34.592083333333335,0.5141666666666667,122.58375,34.785833333333336,-75.27991666666667,56.20483333333333,50.29833333333333,0.9786666666666667,1.5442500000000001,506.375,East,4G,25.696844,79.473325,2023,81.43,Healthy,No Major Issue,1,0.1319698468949001,Normal
T1017,35.433,0.4955,119.33608333333333,35.867333333333335,-75.37316666666668,54.227999999999994,49.34375,0.9752500000000001,1.5290833333333333,496.28333333333336,South,5G,11.770019,89.60468,2024,81.65,Healthy,No Major Issue,1,0.15473271065688748,Normal
T1018,85.97566666666667,3.048083333333333,121.82566666666666,34.126916666666666,-83.10833333333333,70.47975,48.68458333333333,3.621666666666667,5.117416666666667,430.9,East,5G,32.241218,79.582615,2019,57.63,Critical,Connection Failures,-1,-0.14289622326404894,Anomaly
T1019,36.52183333333333,0.48183333333333334,121.34441666666666,35.27633333333333,-75.78625000000001,55.274,50.90608333333333,0.9595833333333333,1.5156666666666667,493.95,South,5G,10.454554,69.366375,2017,81.24,Healthy,No Major Issue,1,0.09017762553264963,Normal
T1020,35.52191666666667,0.47675,123.67949999999999,34.706583333333334,-75.19841666666666,57.686416666666666,49.94375,0.9718333333333333,1.4780833333333334,485.275,South,4G,29.386143,80.242639,2017,81.31,Healthy,No Major Issue,1,0.0643289084222009,Normal
T1021,35.46891666666667,0.5103333333333333,123.8495,34.989000000000004,-75.04691666666666,55.32508333333333,49.565083333333334,1.02175,1.5823333333333334,494.225,West,5G,24.088988,81.573447,2020,81.5,Healthy,No Major Issue,1,0.11911152533140834,Normal
T1022,35.915333333333336,0.5149166666666667,119.51416666666667,34.73308333333333,-74.63416666666667,54.79883333333333,50.45766666666667,1.04075,1.5006666666666668,497.69166666666666,Central,4G,26.367652,71.322001,2024,81.78,Healthy,No Major Issue,1,0.13625114388727955,Normal
