tower_id,network_region,technology,tower_health_score,tower_status,risk_category,failure_probability,recommended_action,total_customers,affected_customers,monthly_revenue,revenue_at_risk
T1000,North,4G,78.54,Warning,MEDIUM,31.21,Increase monitoring frequency,24,0,16176,0
T1001,North,4G,78.18,Warning,MEDIUM,32.68,Increase monitoring frequency,26,0,16374,0
T1002,South,4G,78.69,Warning,MEDIUM,26.54,Increase monitoring frequency,20,0,13180,0
T1003,Central,5G,78.62,Warning,LOW,24.42,Normal monitoring,25,0,17875,0
T1004,South,5G,78.82,Warning,MEDIUM,25.38,Increase monitoring frequency,18,0,12882,0
T1005,North,4G,79.65,Warning,CRITICAL,84.12,Immediate technician inspection,28,28,19972,19972
T1006,Central,5G,78.45,Warning,LOW,10.72,Normal monitoring,15,0,13385,0
T1007,North,5G,78.54,Warning,LOW,21.21,Normal monitoring,15,0,10685,0
T1008,East,4G,77.1,Warning,LOW,20.61,Normal monitoring,25,0,16575,0
T1009,East,4G,78.4,Warning,MEDIUM,27.01,Increase monitoring frequency,17,0,11883,0
T1010,East,5G,79.06,Warning,LOW,19.14,Normal monitoring,18,0,11782,0
T1011,East,4G,78.6,Warning,LOW,23.03,Normal monitoring,21,0,15879,0
T1012,Central,4G,78.51,Warning,CRITICAL,83.08,Immediate technician inspection,18,18,10482,10482
T1013,West,5G,78.76,Warning,MEDIUM,29.37,Increase monitoring frequency,25,0,18075,0
T1014,South,5G,78.06,Warning,LOW,12.5,Normal monitoring,18,0,11482,0
T1015,North,5G,78.79,Warning,LOW,18.51,Normal monitoring,21,0,14979,0
T1016,East,4G,78.25,Warning,MEDIUM,29.03,Increase monitoring frequency,24,0,14876,0
T1017,South,5G,78.58,Warning,LOW,11.57,Normal monitoring,10,0,6090,0
T1018,East,5G,50.98,Critical,CRITICAL,100.0,Immediate technician inspection,16,16,9484,9484
T1019,South,5G,78.07,Warning,LOW,20.83,Normal monitoring,19,0,12981,0
T1020,South,4G,78.3,Warning,MEDIUM,32.98,Increase monitoring frequency,17,0,12583,0
T1021,West,5G,78.34,Warning,MEDIUM,30.77,Increase monitoring frequency,26,0,17174,0
T1022,Central,4G,78.74,Warning,HIGH,71.04,Schedule preventive maintenance,21,21,14079,14079
T1023,East,5G,79.13,Warning,MEDIUM,25.58,Increase monitoring frequency,19,0,11581,0
T1024,North,5G,78.49,Warning,LOW,16.69,Normal monitoring,19,0,11181,0
T1025,North,5G,79.22,Warning,MEDIUM,43.45,Increase monitoring frequency,18,0,12682,0
T1026,South,5G,78.82,Warning,MEDIUM,31.72,Increase monitoring frequency,23,0,18477,0
T1027,North,5G,78.45,Warning,LOW,22.57,Normal monitoring,19,0,11281,0
T1028,East,4G,78.74,Warning,LOW,14.38,Normal monitoring,20,0,16880,0
T1029,North,5G,78.61,Warning,LOW,15.77,Normal monitoring,16,0,12284,0
T1030,South,4G,78.68,Warning,MEDIUM,27.53,Increase monitoring frequency,22,0,15978,0
T1031,East,5G,78.59,Warning,LOW,17.34,Normal monitoring,20,0,14680,0
T1032,East,5G,78.77,Warning,LOW,19.42,Normal monitoring,16,0,10784,0
T1033,Central,5G,77.86,Warning,LOW,18.76,Normal monitoring,12,0,10688,0
T1034,North,4G,77.83,Warning,LOW,17.3,Normal monitoring,19,0,14881,0
T1035,South,4G,80.18,Healthy,MEDIUM,27.07,Increase monitoring frequency,19,0,11781,0
T1036,Central,4G,78.18,Warning,MEDIUM,28.97,Increase monitoring frequency,21,0,14079,0
T1037,South,5G,50.65,Critical,CRITICAL,100.0,Immediate technician inspection,18,18,12082,12082
T1038,South,4G,79.08,Warning,MEDIUM,34.18,Increase monitoring frequency,17,0,12183,0
T1039,West,5G,78.76,Warning,MEDIUM,28.0,Increase monitoring frequency,19,0,13681,0
T1040,North,5G,78.6,Warning,MEDIUM,25.59,Increase monitoring frequency,23,0,16877,0
