tower_id,avg_latency_ms,avg_packet_loss_pct,avg_download_mbps,avg_upload_mbps,avg_signal_strength_dbm,avg_cpu_utilization_pct,avg_memory_utilization_pct,avg_call_drop_rate,avg_connection_failure_rate,avg_active_users,region,technology,latitude,longitude,installation_year,tower_health_score,tower_status,problem_indicators
T1000,42.75175,1.5096666666666667,82.42191666666666,25.525666666666666,-75.45216666666667,51.17925,54.726,1.47875,1.5475833333333333,512.3083333333333,North,4G,28.021863,75.101864,2018,78.54,Warning,No Major Issue
T1001,44.63675,1.4263333333333332,80.97791666666667,25.311416666666666,-76.26608333333334,50.07416666666666,55.12108333333333,1.5461666666666667,1.53875,504.64166666666665,North,4G,23.943298,68.921698,2017,78.18,Warning,No Major Issue
T1002,44.90208333333333,1.5639166666666666,77.92758333333333,24.74625,-75.25108333333333,49.50275,55.05316666666667,1.4444166666666667,1.476,491.5,South,4G,21.644593,68.769543,2019,78.69,Warning,No Major Issue
T1003,44.60975,1.5283333333333333,80.12241666666667,25.157,-75.13958333333333,50.87191666666667,55.07358333333333,1.4329166666666666,1.5136666666666665,492.9583333333333,Central,5G,13.951897,85.088705,2016,78.62,Warning,No Major Issue
T1004,44.48891666666667,1.5579166666666666,81.21424999999999,25.022583333333333,-74.49308333333333,50.73316666666666,55.395999999999994,1.4545833333333333,1.5778333333333334,484.925,South,5G,17.186764,72.508905,2021,78.82,Warning,No Major Issue
T1005,42.952083333333334,1.4806666666666668,77.43616666666667,25.03033333333333,-73.81958333333334,49.92725,54.77816666666667,1.49275,1.4585000000000001,481.25,North,4G,18.258037,78.410402,2021,79.65,Warning,No Major Issue
T1006,43.058,1.4948333333333332,80.74608333333335,24.491,-76.39641666666667,49.82783333333334,54.47741666666666,1.4231666666666667,1.4520833333333334,490.05833333333334,Central,5G,29.792463,89.162222,2024,78.45,Warning,No Major Issue
T1007,46.61875,1.4091666666666667,81.0335,25.621166666666667,-75.08558333333333,50.7885,53.60966666666666,1.5005833333333334,1.5650833333333334,471.65,North,5G,10.127605,76.50217,2025,78.54,Warning,No Major Issue
T1008,46.422916666666666,1.55275,81.06216666666666,24.71925,-77.06,50.8055,56.03008333333333,1.66125,1.5115,509.375,East,4G,27.02344,69.328907,2019,77.1,Warning,No Major Issue
T1009,46.31425,1.4525000000000001,79.79983333333332,25.310333333333332,-74.81691666666667,51.656166666666664,55.84066666666667,1.5485,1.5816666666666668,485.7083333333333,East,4G,31.093578,93.128026,2022,78.4,Warning,No Major Issue
T1010,43.508833333333335,1.43725,78.37608333333333,23.673083333333334,-75.40641666666667,49.40291666666667,54.21525,1.4931666666666668,1.3634166666666665,492.9583333333333,East,5G,25.16348,78.580133,2021,79.06,Warning,No Major Issue
T1011,44.162416666666665,1.508,80.20966666666666,25.428416666666667,-75.19816666666667,50.41466666666667,55.84108333333334,1.543,1.4957500000000001,517.0416666666666,East,4G,26.09473,88.352789,2017,78.6,Warning,No Major Issue
T1012,46.22058333333334,1.4924166666666667,79.37691666666666,24.5975,-74.59541666666668,51.25991666666666,53.533500000000004,1.614,1.4771666666666665,494.85,Central,4G,22.421777,75.099517,2023,78.51,Warning,No Major Issue
T1013,44.71516666666666,1.5256666666666667,80.63541666666667,24.485833333333336,-74.94258333333333,50.278999999999996,55.843916666666665,1.5509166666666665,1.3798333333333332,511.71666666666664,West,5G,34.71713,86.559993,2024,78.76,Warning,No Major Issue
