customer_id,tower_id,region,plan,monthly_revenue,data_usage_gb,complaint_count
C00001,T1040,North,Premium,799,29.96,0
C00002,T1491,South,Unlimited,1199,13.72,2
C00003,T1081,Central,Standard,499,15.01,1
C00004,T1289,Central,Standard,499,30.17,0
C00005,T1373,Central,Basic,299,40.56,0
C00006,T1304,West,Basic,299,27.2,1
C00007,T1276,West,Premium,799,0.0,2
C00008,T1461,Central,Premium,799,25.79,2
C00009,T1054,West,Basic,299,17.61,0
C00010,T1252,North,Premium,799,5.52,1
C00011,T1374,North,Basic,299,17.43,2
C00012,T1341,West,Basic,299,35.01,1
C00013,T1455,West,Standard,499,16.79,0
C00014,T1051,Central,Basic,299,15.75,1
C00015,T1051,Central,Unlimited,1199,28.96,0
C00016,T1398,North,Unlimited,1199,14.53,0
C00017,T1048,Central,Basic,299,22.06,1
C00018,T1072,East,Premium,799,39.2,2
C00019,T1412,South,Premium,799,28.55,1
C00020,T1360,East,Unlimited,1199,25.86,2
C00021,T1349,Central,Unlimited,1199,25.28,0
C00022,T1027,North,Standard,499,24.18,2
C00023,T1086,South,Basic,299,27.12,2
C00024,T1207,South,Premium,799,8.58,3
C00025,T1470,South,Standard,499,29.65,1
C00026,T1161,Central,Premium,799,20.65,3
C00027,T1357,North,Basic,299,27.08,2
C00028,T1349,Central,Standard,499,41.37,0
C00029,T1000,North,Basic,299,23.55,1
C00030,T1341,West,Standard,499,31.85,1
C00031,T1093,West,Unlimited,1199,11.48,2
C00032,T1461,Central,Premium,799,49.34,1
C00033,T1401,South,Premium,799,15.57,1
C00034,T1446,West,Basic,299,17.67,1
C00035,T1005,North,Standard,499,25.68,2
C00036,T1440,West,Unlimited,1199,20.88,0
C00037,T1388,East,Basic,299,18.01,0
C00038,T1040,North,Premium,799,11.35,0
C00039,T1056,South,Premium,799,22.87,2
C00040,T1109,East,Standard,499,31.07,2
C00041,T1464,South,Premium,799,39.33,1
C00042,T1494,West,Premium,799,11.15,1
C00043,T1225,Central,Premium,799,18.23,1
C00044,T1016,East,Unlimited,1199,13.48,0
C00045,T1144,East,Basic,299,31.07,0
C00046,T1489,East,Unlimited,1199,19.67,0
C00047,T1051,Central,Unlimited,1199,21.9,1
C00048,T1360,East,Standard,499,23.7,1
C00049,T1432,South,Standard,499,16.45,0
C00050,T1237,Central,Basic,299,32.67,0
C00051,T1476,East,Premium,799,23.54,1
C00052,T1362,East,Premium,799,10.96,0
C00053,T1329,South,Basic,299,31.09,1
C00054,T1467,North,Standard,499,24.9,2
C00055,T1341,West,Basic,299,30.7,1
C00056,T1024,North,Basic,299,13.43,0
C00057,T1201,Central,Premium,799,30.63,2
C00058,T1490,East,Standard,499,15.49,2
C00059,T1496,West,Premium,799,25.23,0
C00060,T1395,Central,Basic,299,17.01,1
C00061,T1104,South,Basic,299,22.24,1
C00062,T1001,North,Premium,799,21.09,2
C00063,T1178,Central,Standard,499,43.08,1
C00064,T1480,East,Basic,299,31.7,1
C00065,T1449,West,Standard,499,50.45,1
C00066,T1219,South,Basic,299,28.89,0
C00067,T1259,Central,Premium,799,17.65,3
C00068,T1036,Central,Premium,799,21.3,0
C00069,T1320,South,Basic,299,42.85,2
C00070,T1489,East,Standard,499,33.92,2
C00071,T1334,North,Premium,799,38.1,1
C00072,T1450,South,Standard,499,20.59,0
C00073,T1491,South,Premium,799,18.16,0
C00074,T1177,West,Standard,499,19.62,0
C00075,T1465,North,Premium,799,29.73,0
C00076,T1351,East,Premium,799,15.08,1
C00077,T1075,East,Basic,299,28.38,4
