event_id,timestamp,tower_id,event_type,severity
E00001,2026-01-17 00:00:00,T1049,Packet Loss,Low
E00002,2026-01-03 18:00:00,T1304,High Latency,Low
E00003,2026-01-08 18:00:00,T1138,Call Drop,Low
E00004,2026-01-05 12:00:00,T1431,Connection Failure,High
E00005,2026-01-10 00:00:00,T1240,Traffic Spike,Medium
E00006,2026-01-23 12:00:00,T1400,Packet Loss,Low
E00007,2026-01-03 06:00:00,T1161,Packet Loss,Low
E00008,2026-01-11 12:00:00,T1420,High Latency,Medium
E00009,2026-01-19 00:00:00,T1058,Low Signal,Low
E00010,2026-01-01 18:00:00,T1194,High Latency,Low
E00011,2026-01-21 06:00:00,T1205,High Latency,Medium
E00012,2026-01-28 06:00:00,T1184,Packet Loss,Low
E00013,2026-01-10 12:00:00,T1345,Packet Loss,Medium
E00014,2026-01-26 18:00:00,T1217,Low Signal,Critical
E00015,2026-01-24 12:00:00,T1125,Traffic Spike,Low
E00016,2026-01-22 06:00:00,T1135,Call Drop,Medium
E00017,2026-01-04 18:00:00,T1061,High Latency,Critical
E00018,2026-01-22 12:00:00,T1160,Call Drop,Medium
E00019,2026-01-26 00:00:00,T1211,High CPU,Low
E00020,2026-01-11 12:00:00,T1423,Packet Loss,Low
E00021,2026-01-29 12:00:00,T1396,High CPU,Critical
E00022,2026-01-17 06:00:00,T1205,Low Signal,Medium
E00023,2026-01-02 00:00:00,T1188,Call Drop,High
E00024,2026-01-27 12:00:00,T1297,High Latency,Low
E00025,2026-01-05 06:00:00,T1098,Call Drop,Medium
E00026,2026-01-08 12:00:00,T1303,High CPU,Low
E00027,2026-01-22 12:00:00,T1105,Low Signal,Low
E00028,2026-01-01 12:00:00,T1265,High Latency,High
E00029,2026-01-11 00:00:00,T1253,Traffic Spike,Low
E00030,2026-01-17 00:00:00,T1340,High CPU,Medium
E00031,2026-01-21 18:00:00,T1456,Traffic Spike,Low
E00032,2026-01-26 12:00:00,T1132,Packet Loss,Low
E00033,2026-01-23 18:00:00,T1143,Connection Failure,Low
E00034,2026-01-10 12:00:00,T1129,High CPU,Low
E00035,2026-01-19 06:00:00,T1406,High Latency,Low
E00036,2026-01-26 00:00:00,T1144,High Latency,Low
E00037,2026-01-19 06:00:00,T1197,Connection Failure,Low
E00038,2026-01-05 18:00:00,T1222,Call Drop,High
E00039,2026-01-07 18:00:00,T1410,Connection Failure,Medium
E00040,2026-01-29 12:00:00,T1402,Low Signal,High
E00041,2026-01-26 18:00:00,T1334,High Latency,Medium
E00042,2026-01-04 00:00:00,T1071,Traffic Spike,Low
E00043,2026-01-06 12:00:00,T1239,Call Drop,High
E00044,2026-01-24 06:00:00,T1181,High CPU,Low
E00045,2026-01-25 18:00:00,T1047,High Latency,Medium
E00046,2026-01-28 06:00:00,T1314,Packet Loss,High
E00047,2026-01-09 18:00:00,T1380,High Latency,Low
E00048,2026-01-13 06:00:00,T1073,Call Drop,Medium
E00049,2026-01-26 00:00:00,T1457,Low Signal,Low
E00050,2026-01-04 18:00:00,T1103,Traffic Spike,Low
E00051,2026-01-12 00:00:00,T1067,Low Signal,High
E00052,2026-01-22 12:00:00,T1383,Packet Loss,Medium
E00053,2026-01-17 12:00:00,T1305,Call Drop,High
E00054,2026-01-18 12:00:00,T1235,Packet Loss,Medium
E00055,2026-01-14 00:00:00,T1124,Traffic Spike,High
E00056,2026-01-30 12:00:00,T1302,High CPU,Low
E00057,2026-01-11 12:00:00,T1134,High CPU,Medium
E00058,2026-01-12 12:00:00,T1458,Traffic Spike,Low
E00059,2026-01-29 00:00:00,T1259,Packet Loss,Low
E00060,2026-01-24 00:00:00,T1098,Connection Failure,Medium
E00061,2026-01-22 06:00:00,T1147,Connection Failure,Medium
E00062,2026-01-08 06:00:00,T1270,Traffic Spike,Low
E00063,2026-01-09 00:00:00,T1349,Packet Loss,Low
E00064,2026-01-07 18:00:00,T1494,Traffic Spike,Medium
E00065,2026-01-16 18:00:00,T1066,High Latency,Low
E00066,2026-01-27 12:00:00,T1470,Low Signal,Low
E00067,2026-01-09 00:00:00,T1341,Call Drop,Medium
E00068,2026-01-11 12:00:00,T1199,High Latency,Low
E00069,2026-01-13 06:00:00,T1282,High CPU,Low
E00070,2026-01-01 12:00:00,T1062,High Latency,High
E00071,2026-01-28 06:00:00,T1362,High CPU,Medium
E00072,2026-01-02 18:00:00,T1082,Traffic Spike,Medium
E00073,2026-01-21 12:00:00,T1347,High CPU,Low
E00074,2026-01-30 06:00:00,T1406,Connection Failure,Medium
E00075,2026-01-14 18:00:00,T1460,Connection Failure,Medium
E00076,2026-01-07 06:00:00,T1093,Call Drop,Medium
E00077,2026-01-30 06:00:00,T1111,Traffic Spike,Medium
E00078,2026-01-15 06:00:00,T1450,Low Signal,Medium
E00079,2026-01-15 06:00:00,T1366,High CPU,Low
E00080,2026-01-19 06:00:00,T1382,High Latency,High
E00081,2026-01-04 00:00:00,T1176,High Latency,Low
E00082,2026-01-16 18:00:00,T1000,Traffic Spike,Low
E00083,2026-01-07 12:00:00,T1131,Low Signal,Medium
E00084,2026-01-29 18:00:00,T1489,Traffic Spike,High
E00085,2026-01-07 18:00:00,T1175,High Latency,Low
E00086,2026-01-16 06:00:00,T1182,High Latency,Critical
E00087,2026-01-06 00:00:00,T1182,High CPU,Medium
E00088,2026-01-03 18:00:00,T1099,Packet Loss,Low
E00089,2026-01-19 12:00:00,T1414,High Latency,Low
E00090,2026-01-27 06:00:00,T1107,Connection Failure,Low
E00091,2026-01-29 06:00:00,T1424,High Latency,Critical
E00092,2026-01-16 06:00:00,T1313,Call Drop,High
E00093,2026-01-10 12:00:00,T1379,High Latency,High
E00094,2026-01-06 18:00:00,T1392,Low Signal,High
E00095,2026-01-20 00:00:00,T1191,High CPU,Low
E00096,2026-01-23 00:00:00,T1278,High Latency,Medium
E00097,2026-01-05 06:00:00,T1241,High Latency,Medium
E00098,2026-01-16 00:00:00,T1321,Traffic Spike,Low
E00099,2026-01-04 12:00:00,T1385,Call Drop,Low
E00100,2026-01-21 12:00:00,T1305,High CPU,Low
E00101,2026-01-05 06:00:00,T1019,Packet Loss,Low
E00102,2026-01-26 18:00:00,T1167,Call Drop,Low
E00103,2026-01-15 00:00:00,T1184,Packet Loss,Low
E00104,2026-01-27 00:00:00,T1007,Traffic Spike,Low
E00105,2026-01-29 12:00:00,T1001,High Latency,Low
E00106,2026-01-06 12:00:00,T1006,High Latency,High
E00107,2026-01-01 00:00:00,T1477,Connection Failure,Medium
E00108,2026-01-14 18:00:00,T1279,Low Signal,Low
E00109,2026-01-26 18:00:00,T1358,Call Drop,Low
E00110,2026-01-11 00:00:00,T1277,High CPU,Low
E00111,2026-01-04 12:00:00,T1385,Call Drop,Low
E00112,2026-01-27 18:00:00,T1316,Packet Loss,High
E00113,2026-01-14 12:00:00,T1200,Low Signal,Low
E00114,2026-01-06 18:00:00,T1228,Call Drop,Low
E00115,2026-01-04 12:00:00,T1466,Traffic Spike,Medium
E00116,2026-01-10 06:00:00,T1020,Low Signal,Medium
E00117,2026-01-22 12:00:00,T1391,High Latency,Medium
E00118,2026-01-09 18:00:00,T1352,Packet Loss,Low
E00119,2026-01-13 12:00:00,T1448,Low Signal,Low
E00120,2026-01-20 06:00:00,T1151,Traffic Spike,Medium
E00121,2026-01-04 18:00:00,T1146,Traffic Spike,High
E00122,2026-01-23 18:00:00,T1485,Connection Failure,Low
E00123,2026-01-15 18:00:00,T1017,High CPU,Medium
E00124,2026-01-28 12:00:00,T1426,High CPU,Low
E00125,2026-01-20 00:00:00,T1138,Traffic Spike,Low
E00126,2026-01-21 18:00:00,T1202,Connection Failure,Medium
E00127,2026-01-10 00:00:00,T1219,High CPU,Low
E00128,2026-01-21 18:00:00,T1120,High CPU,Medium
E00129,2026-01-07 18:00:00,T1162,Connection Failure,Low
E00130,2026-01-06 12:00:00,T1495,High CPU,Low
E00131,2026-01-04 18:00:00,T1431,Low Signal,Low
E00132,2026-01-22 06:00:00,T1346,Call Drop,Critical
E00133,2026-01-15 00:00:00,T1479,Call Drop,Low
E00134,2026-01-02 18:00:00,T1149,Low Signal,Medium
E00135,2026-01-12 00:00:00,T1199,Traffic Spike,Medium
E00136,2026-01-12 18:00:00,T1228,Traffic Spike,Medium
E00137,2026-01-29 06:00:00,T1221,Traffic Spike,Low
E00138,2026-01-25 06:00:00,T1497,Low Signal,Critical
E00139,2026-01-06 18:00:00,T1371,Packet Loss,Critical
E00140,2026-01-16 00:00:00,T1397,Packet Loss,Low
E00141,2026-01-16 06:00:00,T1456,High Latency,Low
E00142,2026-01-01 00:00:00,T1127,High CPU,Medium
E00143,2026-01-22 12:00:00,T1234,Traffic Spike,Medium
E00144,2026-01-08 06:00:00,T1188,Low Signal,Low
E00145,2026-01-25 18:00:00,T1174,Connection Failure,Low
E00146,2026-01-18 00:00:00,T1297,Traffic Spike,Low
