fault_id,tower_id,timestamp,fault_type,severity,duration_minutes,resolved
F00001,T1043,2026-01-11 00:00:00,Power Issue,Low,138,True
F00002,T1247,2026-01-28 12:00:00,Configuration Error,Low,310,True
F00003,T1495,2026-01-08 06:00:00,Radio Degradation,Low,40,True
F00004,T1494,2026-01-08 18:00:00,Configuration Error,Low,75,True
F00005,T1072,2026-01-13 00:00:00,Configuration Error,Medium,242,True
F00006,T1404,2026-01-14 18:00:00,Hardware Failure,Medium,9,True
F00007,T1369,2026-01-23 00:00:00,Radio Degradation,Low,5,True
F00008,T1159,2026-01-12 12:00:00,Network Congestion,Medium,177,True
F00009,T1265,2026-01-17 12:00:00,Radio Degradation,Low,22,True
F00010,T1472,2026-01-12 12:00:00,Backhaul Failure,Medium,7,True
F00011,T1393,2026-01-26 12:00:00,Radio Degradation,Medium,58,True
F00012,T1356,2026-01-04 06:00:00,Power Issue,Low,77,True
F00013,T1285,2026-01-17 18:00:00,Backhaul Failure,Medium,15,True
F00014,T1407,2026-01-06 18:00:00,Configuration Error,Medium,94,False
F00015,T1129,2026-01-18 06:00:00,Backhaul Failure,Low,99,True
F00016,T1043,2026-01-20 00:00:00,Power Issue,Critical,86,True
F00017,T1169,2026-01-27 18:00:00,Radio Degradation,Medium,39,True
F00018,T1346,2026-01-16 18:00:00,Configuration Error,High,77,True
F00019,T1445,2026-01-19 00:00:00,Network Congestion,Low,60,True
F00020,T1049,2026-01-10 06:00:00,Backhaul Failure,Medium,120,True
F00021,T1059,2026-01-18 00:00:00,Radio Degradation,Low,8,True
F00022,T1373,2026-01-18 00:00:00,Configuration Error,Medium,5,True
F00023,T1407,2026-01-04 06:00:00,Power Issue,High,92,True
F00024,T1261,2026-01-12 00:00:00,Backhaul Failure,High,13,True
F00025,T1326,2026-01-07 12:00:00,Configuration Error,Medium,93,True
F00026,T1298,2026-01-05 06:00:00,Network Congestion,High,20,True
F00027,T1049,2026-01-09 06:00:00,Power Issue,Critical,98,True
F00028,T1245,2026-01-09 00:00:00,Network Congestion,Critical,5,True
F00029,T1229,2026-01-09 06:00:00,Configuration Error,High,31,True
F00030,T1204,2026-01-11 06:00:00,Configuration Error,Low,86,True
F00031,T1301,2026-01-09 18:00:00,Backhaul Failure,Medium,77,True
F00032,T1395,2026-01-13 12:00:00,Configuration Error,High,19,True
F00033,T1265,2026-01-11 00:00:00,Configuration Error,Low,248,False
F00034,T1359,2026-01-22 12:00:00,Hardware Failure,High,26,True
F00035,T1407,2026-01-27 06:00:00,Backhaul Failure,Low,21,True
F00036,T1078,2026-01-18 06:00:00,Radio Degradation,High,52,True
F00037,T1346,2026-01-25 00:00:00,Hardware Failure,Low,312,True
F00038,T1266,2026-01-01 00:00:00,Network Congestion,Medium,15,True
F00039,T1407,2026-01-07 06:00:00,Configuration Error,Low,52,True
F00040,T1352,2026-01-03 12:00:00,Power Issue,Low,27,True
F00041,T1178,2026-01-06 00:00:00,Backhaul Failure,Medium,12,True
F00042,T1369,2026-01-08 18:00:00,Configuration Error,Low,19,True
F00043,T1151,2026-01-16 00:00:00,Network Congestion,Medium,21,True
F00044,T1018,2026-01-01 00:00:00,Configuration Error,Low,63,True
F00045,T1407,2026-01-23 06:00:00,Backhaul Failure,Low,75,True
F00046,T1050,2026-01-26 00:00:00,Hardware Failure,Low,138,True
F00047,T1085,2026-01-13 06:00:00,Configuration Error,Critical,63,True
F00048,T1353,2026-01-19 00:00:00,Radio Degradation,Medium,206,True
F00049,T1401,2026-01-07 06:00:00,Backhaul Failure,Medium,14,True
F00050,T1151,2026-01-03 00:00:00,Network Congestion,High,25,True
F00051,T1184,2026-01-12 18:00:00,Power Issue,High,53,True
F00052,T1012,2026-01-03 06:00:00,Radio Degradation,Medium,64,True
F00053,T1054,2026-01-25 00:00:00,Configuration Error,High,5,True
F00054,T1005,2026-01-17 06:00:00,Configuration Error,Low,5,True
F00055,T1326,2026-01-16 18:00:00,Hardware Failure,Low,5,True
F00056,T1105,2026-01-17 00:00:00,Power Issue,High,5,True
F00057,T1205,2026-01-14 12:00:00,Radio Degradation,Medium,35,True
F00058,T1105,2026-01-01 00:00:00,Hardware Failure,Low,91,True
F00059,T1229,2026-01-26 18:00:00,Radio Degradation,Low,192,True
F00060,T1200,2026-01-14 18:00:00,Hardware Failure,Medium,33,True
F00061,T1347,2026-01-09 00:00:00,Power Issue,Low,51,False
F00062,T1347,2026-01-18 12:00:00,Backhaul Failure,Medium,16,True
F00063,T1178,2026-01-22 00:00:00,Power Issue,Medium,58,True
F00064,T1326,2026-01-02 06:00:00,Hardware Failure,High,288,True
F00065,T1298,2026-01-20 00:00:00,Power Issue,Medium,15,True
F00066,T1129,2026-01-04 00:00:00,Configuration Error,Low,45,True
F00067,T1059,2026-01-12 12:00:00,Network Congestion,Low,13,True
F00068,T1415,2026-01-24 00:00:00,Hardware Failure,Low,34,True
