tower_id,region,technology,latitude,longitude,installation_year
T1000,North,4G,28.021863,75.101864,2018
T1001,North,4G,23.943298,68.921698,2017
T1002,South,4G,21.644593,68.769543,2019
T1003,Central,5G,13.951897,85.088705,2016
T1004,South,5G,17.186764,72.508905,2021
T1005,North,4G,18.258037,78.410402,2021
T1006,Central,5G,29.792463,89.162222,2024
T1007,North,5G,10.127605,76.50217,2025
T1008,East,4G,27.02344,69.328907,2019
T1009,East,4G,31.093578,93.128026,2022
T1010,East,5G,25.16348,78.580133,2021
T1011,East,4G,26.09473,88.352789,2017
T1012,Central,4G,22.421777,75.099517,2023
T1013,West,5G,34.71713,86.559993,2024
T1014,South,5G,30.757002,90.503997,2019
T1015,North,5G,18.831449,69.91947,2025
T1016,East,4G,25.696844,79.473325,2023
T1017,South,5G,11.770019,89.60468,2024
T1018,East,5G,32.241218,79.582615,2019
T1019,South,5G,10.454554,69.366375,2017
T1020,South,4G,29.386143,80.242639,2017
T1021,West,5G,24.088988,81.573447,2020
T1022,Central,4G,26.367652,71.322001,2024
T1023,East,5G,11.011909,80.608192,2023
T1024,North,5G,34.240979,90.096904,2024
T1025,North,5G,30.725072,82.722224,2019
T1026,South,5G,28.587792,83.641992,2024
T1027,North,5G,21.192354,71.244164,2021
T1028,East,4G,9.563979,93.462278,2017
T1029,North,5G,30.032628,96.36155,2024
T1030,South,4G,25.813272,95.458612,2018
T1031,East,5G,34.037798,94.938491,2019
T1032,East,5G,34.869033,86.846464,2023
T1033,Central,5G,11.267113,74.516223,2021
T1034,North,4G,23.887883,68.208534,2016
T1035,South,4G,32.44634,92.929427,2017
T1036,Central,4G,15.518886,82.07702,2024
T1037,South,5G,14.560926,81.716215,2022
T1038,South,4G,10.617132,80.500484,2022
T1039,West,5G,31.323592,69.570964,2017
T1040,North,5G,27.661767,91.217183,2017
T1041,South,4G,13.135641,81.009793,2022
T1042,South,5G,20.490958,93.360093,2017
T1043,West,4G,9.365885,96.979192,2016
T1044,North,4G,12.4904,82.083593,2019
T1045,West,4G,12.445202,68.062506,2022
T1046,East,5G,15.701729,88.201154,2024
T1047,West,4G,13.127242,74.313326,2016
T1048,Central,4G,28.19534,69.657793,2025
T1049,West,4G,9.535749,82.727026,2018
T1050,North,4G,26.230739,74.820913,2017
T1051,Central,4G,23.630815,69.152508,2017
T1052,West,5G,33.237069,73.923517,2021
T1053,South,5G,18.686218,87.479016,2020
T1054,West,5G,33.083495,95.136294,2016
T1055,West,4G,9.978039,74.181475,2020
T1056,South,5G,31.783333,93.498837,2021
T1057,East,4G,19.830983,83.753321,2020
T1058,Central,4G,26.032307,84.083466,2017
T1059,South,5G,11.116574,71.104043,2024
T1060,South,5G,15.607419,74.10826,2021
T1061,South,5G,21.646045,75.282516,2016
T1062,North,5G,30.392398,69.278516,2021
T1063,South,5G,12.362713,80.81323,2022
T1064,Central,4G,11.020595,95.406477,2018
T1065,Central,4G,30.534066,84.892777,2018
T1066,West,4G,9.129379,78.574894,2016
T1067,East,4G,26.415801,87.341069,2021
T1068,Central,5G,34.2936,89.734851,2019
T1069,South,4G,31.798238,68.718804,2021
T1070,West,4G,15.203754,90.833861,2017
T1071,West,4G,31.182018,74.450578,2023
T1072,East,5G,30.154482,93.268368,2019
T1073,North,4G,18.758581,76.079489,2017
T1074,East,5G,25.320007,79.590673,2024
T1075,East,4G,11.114227,96.141618,2018
T1076,Central,5G,9.032944,85.300566,2021
T1077,East,5G,24.367639,82.831269,2022
T1078,Central,4G,14.877508,88.554773,2016
T1079,Central,4G,17.83398,70.029241,2021
T1080,Central,5G,25.911462,71.614134,2020
T1081,Central,5G,26.006108,77.459304,2020
T1082,Central,4G,13.179683,87.282954,2022
T1083,South,5G,18.96403,92.17803,2020
T1084,East,4G,19.60698,84.819559,2021
T1085,West,5G,19.938315,74.197341,2023
T1086,South,4G,15.662233,87.251761,2025
T1087,East,4G,30.097434,89.783006,2020
T1088,South,4G,11.978557,69.340198,2023
T1089,Central,4G,20.296237,93.69797,2025
T1090,South,5G,21.348184,75.075549,2016
T1091,North,5G,13.908711,91.319186,2024
T1092,West,4G,23.049956,94.60663,2017
T1093,West,4G,29.638248,87.359754,2024
T1094,Central,5G,33.651069,93.851352,2025
T1095,Central,5G,30.425368,83.888287,2018
T1096,West,5G,14.998172,75.169952,2020
T1097,Central,5G,24.922208,75.963326,2017
T1098,East,4G,15.336308,77.271577,2024
T1099,North,4G,12.072428,79.108023,2018
T1100,South,4G,19.201433,77.59556,2023
T1101,West,4G,13.584529,80.184162,2025
T1102,North,5G,20.878453,95.339508,2020
T1103,West,5G,22.531955,89.304388,2025
T1104,South,5G,13.924384,80.639243,2016
T1105,West,5G,26.059588,91.146127,2018
T1106,West,4G,34.479493,83.489585,2022
T1107,Central,4G,10.266581,80.42977,2023
T1108,South,4G,15.02422,77.493227,2023
T1109,East,5G,28.553202,78.99466,2022
T1110,East,4G,20.698285,89.721704,2016
T1111,East,4G,25.553891,90.655758,2016
T1112,North,4G,13.382738,68.591021,2018
T1113,South,4G,20.786149,71.317294,2019
